RPM_Left,RPM_Right,dist_Left_RPM,dist_Right_RPM,Pos_Left,Pos_Right,dist_Left_pos,dist_Right_pos,time_stamp
14,-16,0.07755751583038271,-0.08380502596537039,14,-16,-0.08726646259971649,0.08726646259971647,0.058687667
14,-16,0.08097965646737729,-0.08771604383622132,14,-16,-0.08988445647770799,0.0916297857297023,0.046684337
14,-14,0.08517835147500993,-0.09191473884385398,14,-14,-0.09512044423369097,0.09337511498169664,0.057277977
15,-14,0.0889047089539452,-0.09539267249086023,15,-14,-0.09861110273767963,0.09773843811168247,0.047445457
15,-15,0.09250370430320852,-0.09899166784012355,15,-15,-0.1021017612416683,0.1021017612416683,0.045823832
14,-15,0.09671541528525217,-0.1035042153208846,14,-15,-0.10559241974565696,0.10559241974565696,0.057455539
14,-14,0.10082850476239578,-0.10761730479802821,14,-14,-0.11082840750163994,0.10995574287564279,0.056110159
14,-14,0.10458549809470309,-0.11137429813033552,14,-14,-0.1143190660056286,0.11431906600562862,0.051252348
14,-16,0.10874020428114474,-0.11612253377198312,14,-16,-0.11780972450961727,0.1195550537616116,0.056677888
14,-15,0.1129241604544832,-0.12060534395770289,14,-15,-0.12304571226560025,0.1221730476396031,0.057076912
14,-15,0.11633266467346165,-0.12425731276375122,14,-15,-0.1265363707695889,0.12566370614359176,0.046498311
15,-15,0.12076973358430443,-0.128694381674594,15,-15,-0.1317723585255719,0.13177235852557193,0.056494516
15,-16,0.1249872787604692,-0.13319309652916972,15,-16,-0.13526301702956056,0.1352630170295606,0.053699453
14,-16,0.1287255351210637,-0.1374653895127063,14,-16,-0.13875367553354923,0.13962634015954642,0.050996741
14,-15,0.13165447741011455,-0.14060354196526076,14,-15,-0.14137166941154072,0.14137166941154075,0.039956198
13,-15,0.1357635354960813,-0.14534476283368394,13,-15,-0.14660765716752372,0.14660765716752375,0.060367099
14,-16,0.1394870171035056,-0.149600170385026,14,-16,-0.15009831567151238,0.15184364492350674,0.050795186
14,-16,0.14370573725103078,-0.15442156483934047,14,-16,-0.15533430342749538,0.1553343034274954,0.057551157
14,-14,0.1470111797323004,-0.1577270073206101,14,-14,-0.15795229730548688,0.1579522973054869,0.045092358
14,-15,0.15092327788167317,-0.16191854105208092,14,-15,-0.16144295580947554,0.16231562043547273,0.053368265
14,-16,0.1549281479637288,-0.16649553543157308,14,-16,-0.16580627893946137,0.16755160819145573,0.054633846
14,-15,0.1592742026525064,-0.17115202259812054,14,-15,-0.17104226669544437,0.1710422666954444,0.059288236
15,-14,0.16302231393269181,-0.17465025979296026,15,-14,-0.17453292519943303,0.1736602605734359,0.047722435
14,-15,0.1665573668758803,-0.17843781651780505,14,-15,-0.17715091907742453,0.1788962483294189,0.04822467
14,-15,0.1705151937128155,-0.1826783452716642,14,-15,-0.18238690683340752,0.18238690683340755,0.053992089
14,-15,0.17465417989321738,-0.18711297332209478,14,-15,-0.1858775653373962,0.18762289458939055,0.056463438
15,-14,0.17947055354840066,-0.19160825540026585,15,-14,-0.19111355309337918,0.1911135530933792,0.061323974
14,-15,0.1827026749746868,-0.1950712426427153,14,-15,-0.19460421159736785,0.19460421159736788,0.044092123
14,-15,0.18668331542915387,-0.1993362145582157,14,-15,-0.1980948701013565,0.19809487010135654,0.054303309
13,-15,0.19052853786739116,-0.2037730096792587,13,-15,-0.20158552860534518,0.20333085785733954,0.05649103
14,-15,0.19489473600844062,-0.20845107911609742,14,-15,-0.20682151636132817,0.20856684561332253,0.05956303
14,-16,0.19881190898186626,-0.21292784822858385,14,-16,-0.21031217486531684,0.2120575041173112,0.053437495
13,-15,0.20259261753738106,-0.21729020425417786,13,-15,-0.21293016874330833,0.21554816262129986,0.055543242
13,-15,0.20574631699893986,-0.22092908824828417,13,-15,-0.21816615649929133,0.22078415037728286,0.04633171
15,-15,0.21067132692808427,-0.22585409817742857,15,-15,-0.22252947962927716,0.22427480888127152,0.062707174
15,-15,0.2152271661839303,-0.23040993743327462,15,-15,-0.22776546738526016,0.22951079663725452,0.058006747
14,-15,0.21904264490256936,-0.23449795034610216,14,-15,-0.23125612588924882,0.23300145514124318,0.052050197
14,-14,0.22314758394692424,-0.23860288939045704,14,-14,-0.23474678439323748,0.23649211364523184,0.055998972
14,-14,0.22778487269415795,-0.24324017813769075,14,-14,-0.23998277214922048,0.24172810140121484,0.063261208
14,-15,0.23199980552607552,-0.24775617760045957,14,-15,-0.24521875990520348,0.2452187599052035,0.057499491
14,-15,0.23573833223118984,-0.2517617419273678,14,-15,-0.24870941840919214,0.24870941840919217,0.051000429
15,-14,0.24025301128256635,-0.25597544237531916,15,-14,-0.25394540616517514,0.2522000769131808,0.057482679
15,-14,0.2446173219285696,-0.2600487989782555,15,-14,-0.25830872929516097,0.2574360646691638,0.055568129
15,-15,0.24799614519697102,-0.26342762224665695,15,-15,-0.26092672317315246,0.26092672317315246,0.043020514
14,-15,0.25203570946796855,-0.26775572682272575,14,-15,-0.26441738167714113,0.2652900463031383,0.055107139
14,-15,0.25593266048072194,-0.27193103147924724,14,-15,-0.26878070480712696,0.2696533694331241,0.05316163
13,-15,0.2596519723883528,-0.27622254521882134,13,-15,-0.2722713633111156,0.2731440279371128,0.05464125
14,-15,0.26340592456472367,-0.2802446368363615,14,-15,-0.2757620218151043,0.2775073510670986,0.051210861
14,-15,0.2668035515217939,-0.28388495143322245,14,-15,-0.2809980095710873,0.2809980095710873,0.046349925
15,-15,0.27096562418275755,-0.2880470240941861,15,-15,-0.28448866807507595,0.28448866807507595,0.052993155
14,-15,0.27505509370025494,-0.292428598577219,14,-15,-0.2879793265790646,0.28972465583105894,0.055787939
14,-15,0.2792179643938204,-0.29688881717746773,14,-15,-0.2932153143350476,0.2932153143350476,0.056789267
14,-15,0.2834952397129221,-0.30147161216221957,14,-15,-0.29670597283903627,0.2984513020910306,0.058349958
14,-15,0.2878250177996895,-0.3061106601123275,14,-15,-0.30019663134302493,0.30194196059501927,0.059066193
14,-15,0.29239643088850514,-0.31100860270748715,14,-15,-0.30543261909900793,0.30717794835100226,0.062362542
14,-15,0.2963834849881503,-0.31528044638567837,14,-15,-0.3089232776029966,0.3115412714809881,0.054390803
14,-15,0.3004108852951365,-0.31959551814316356,14,-15,-0.31241393610698526,0.31503192998497676,0.0549412
14,-14,0.3049404826547595,-0.32412511550278655,14,-14,-0.31764992386296825,0.3193952531149626,0.061792098
15,-15,0.3092514052322873,-0.32843603808031435,15,-15,-0.32288591161895125,0.32288591161895125,0.054888371
14,-15,0.31313917904552496,-0.332601510023069,14,-15,-0.3263765701229399,0.3263765701229399,0.053036436
15,-14,0.3167926917087431,-0.3360114551754059,15,-14,-0.3298672286269286,0.3289945640009314,0.046517968
14,-14,0.32107260061449433,-0.3402913640811572,14,-14,-0.3351032163829116,0.3342305517569144,0.058385885
14,-15,0.3244381272385971,-0.3438972854641244,14,-15,-0.33772121026090307,0.33859387488690024,0.045912017
14,-16,0.32872248231476725,-0.3487936912654617,14,-16,-0.3420845333908889,0.34295719801688607,0.058446539
14,-15,0.3317414785038409,-0.3520283300394692,14,-15,-0.3447025272688804,0.3447025272688804,0.0411847
14,-15,0.3359055205192833,-0.3564898036274432,14,-15,-0.3499385150248634,0.3499385150248634,0.056805246
14,-15,0.34019998983780997,-0.36109102075443605,14,-15,-0.35342917352885206,0.3551745027808464,0.058584516
14,-15,0.3441181461820961,-0.3652890454090283,14,-15,-0.35866516128483505,0.3569198320328407,0.05345091
14,-14,0.3474807594921394,-0.36865165871907163,14,-14,-0.3621558197888237,0.36128315516282655,0.045872274
14,-15,0.3517243269253128,-0.3731983381117574,14,-15,-0.3656464782928124,0.3656464782928124,0.05789012
14,-15,0.3559280329093636,-0.3777023088089547,14,-15,-0.3708824660487954,0.3700098014227982,0.057346336
14,-15,0.3593410163587876,-0.3813590767904805,14,-15,-0.3735004599267869,0.3735004599267869,0.046559416
14,-15,0.36295807268232855,-0.38523449427998857,14,-15,-0.37699111843077554,0.37699111843077554,0.049343348
13,-15,0.36610431987247,-0.3888647794993826,13,-15,-0.3804817769347642,0.38222710618675854,0.046222227
14,-16,0.3702598552718206,-0.3936139628129261,14,-16,-0.3857177646907472,0.3857177646907472,0.0566892
14,-16,0.3735621861521745,-0.3973880552476163,14,-16,-0.3883357585687387,0.38920842319473586,0.04504991
14,-15,0.37678016507081197,-0.4008358898032993,14,-15,-0.39182641707272736,0.39182641707272736,0.043899193
14,-14,0.37976630025308894,-0.4038220249855763,14,-14,-0.39444441095071886,0.395317075576716,0.040736415
13,-15,0.3827395065354313,-0.4072526476190483,13,-15,-0.3979350694547075,0.3988077340807047,0.043680044
14,-16,0.38649933547973975,-0.4115495949839722,14,-16,-0.4014257279586962,0.4040437218366877,0.051291031
13,-15,0.39024350181490614,-0.4158697869091642,13,-15,-0.40491638646268485,0.40753438034067635,0.055006392
13,-15,0.39416173456796155,-0.4203908247011512,13,-15,-0.4092797095926707,0.4118977034706622,0.057563641
14,-16,0.3976721409313845,-0.4244027176879202,14,-16,-0.41277036809665935,0.41538836197465084,0.047888445
15,-16,0.400989699687289,-0.42794144702755166,15,-16,-0.416261026600648,0.4197516851046367,0.04224047
14,-15,0.40497590192314215,-0.4322123779945372,14,-15,-0.4197516851046367,0.42236967898262817,0.054379182
14,-13,0.40868260083892366,-0.43565431270204863,14,-13,-0.42498767286061967,0.426733002112614,0.050566239
14,-14,0.4128624129269208,-0.43983412479004574,14,-14,-0.42847833136460833,0.43022366061660267,0.057020379
15,-15,0.41660242573102396,-0.44357413759414893,15,-15,-0.431968989868597,0.43371431912059133,0.047619322
14,-15,0.420013631929124,-0.44722900137782756,14,-15,-0.4363323129985828,0.43720497762458,0.046535171
14,-13,0.42400503521822286,-0.4509353044319908,14,-13,-0.44069563612856866,0.4398229715025715,0.054450134
15,-14,0.42766350437217054,-0.45434987564234197,15,-14,-0.4441862946325573,0.4450589592585545,0.046581076
15,-15,0.4318332019141239,-0.4585195731842953,15,-15,-0.44854961776254315,0.44854961776254315,0.053090238
14,-15,0.4357915796293309,-0.46276069216487425,14,-15,-0.4520402762665318,0.4520402762665318,0.053999604
14,-14,0.4394211165161188,-0.46639022905166216,14,-14,-0.4555309347705205,0.4555309347705205,0.049513606
15,-15,0.44373328709132825,-0.4707023996268716,15,-15,-0.4607669225265035,0.4607669225265035,0.054904261
15,-15,0.44811149229478,-0.4750806048303233,15,-15,-0.46425758103049214,0.46600291028248647,0.05574504
14,-15,0.4520162735491988,-0.4792642990314864,14,-15,-0.4677482395344808,0.46949356878647514,0.053268449
14,-14,0.4560321326815013,-0.48328015816378883,14,-14,-0.47211156266446663,0.4729842272904638,0.054783757
13,-15,0.46015551659752,-0.48803790883611814,13,-15,-0.47647488579445246,0.4782202150464468,0.060577563
13,-16,0.463520113441097,-0.492178951105136,13,-16,-0.4799655442984411,0.48171087355043546,0.049430051
14,-15,0.4669327869619338,-0.49583538702031826,14,-15,-0.48432886742842696,0.48432886742842696,0.046555188
15,-14,0.4706160235684244,-0.4992730745197095,15,-14,-0.4878195259324156,0.4878195259324156,0.046896425
15,-14,0.4752161083868851,-0.5035664870169394,15,-14,-0.4930555136883986,0.4913101844364043,0.058570099
14,-14,0.478659306135071,-0.5070096847651253,14,-14,-0.49480084294039295,0.4956735075663901,0.046971595
13,-15,0.48196935027988796,-0.5108289664706833,13,-15,-0.4991641660703788,0.500036830696376,0.048628605
13,-15,0.4851387231105436,-0.5144859351214398,13,-15,-0.5026548245743674,0.5026548245743674,0.046561971
