File,RMSE_X_POS,RMSE_Y_POS,Final_Position_Error_POS,RMSE_X_RPM,RMSE_Y_RPM,Final_Position_Error_RPM
15-05|11:26:50.csv,0.3047473944741125,0.23950933597407745,0.17556134533627696,1.1573197104058117,1.24948005165803,2.993040690695854
15-05|11:19:29.csv,0.1446397973146969,0.2375500410154938,0.3007650879338968,1.191825764626665,0.9910112493602959,2.5439284123617654
15-05|10:52:10.csv,0.24919238700176524,0.5577532450327515,0.22618683709374743,1.55451605013537,1.2847762369433489,2.5866827713553335
15-05|11:00:47.csv,0.28021166267898395,0.3148726816978639,0.18799155787903093,1.2091475982854998,1.163951633888717,2.561329687945092
15-05|09:47:40.csv,0.3102688718530077,0.32919566646445136,0.08335757322503012,1.2579872721646632,1.2122571620299993,2.4766455298683745
15-05|11:09:20.csv,0.4353272490140783,0.39327289127151077,0.3157589764371558,1.1086338617650988,1.1884400307631076,2.785110372726038
15-05|11:12:45.csv,0.2419281059543979,0.3092222774169326,0.25081786226080977,1.3115041156134184,1.2023426675650857,2.579228038951204
15-05|10:39:31.csv,0.17796411084890887,0.28018290533085743,0.3769046476155844,1.2233904951936505,1.1189677229186277,2.4350699735091563
15-05|10:43:27.csv,0.21061292400074125,0.34479016528463924,0.1504057197179553,1.2249500623050638,1.156665310951382,2.84918780305009
15-05|11:16:33.csv,0.4661223253500448,0.4923492502623245,0.21019734048020733,1.407858891933376,1.3658462944543481,2.6635508250510544
15-05|11:30:40.csv,0.6202098733504078,0.5162953837583898,0.29205692932657723,1.4576191953658992,1.496656945618811,2.734929185309127
15-05|11:05:09.csv,0.5445410099335609,0.43406005934808345,0.22041051046447677,1.3459164882782857,1.3725824866691982,3.210306988500364
